# M_MTOT,R_RTOT,MATM_MTOT,RATM_RTOT,M_G,R_CM,REQ_CM,P_CGS,T_K,RHO_GCC,L_CGS,S_CGS,KROSS_CGS,GRADT,GRADAD,GRADRAD,TAUV,VSOUND_CGS,CP_CGS,X,Y,Z
 9.99999829681D-01, 9.99638197217D-01,-1.70319207404D-07,-3.61802782702D-04, 1.89861087663D+30, 6.98679057189D+09, 7.14647137796D+09, 2.28664308311D+06, 2.35896502967D+02, 2.70013117250D-04, 1.00000000000D+00, 5.21186197006D+08, 1.00000000000D+33, 3.06811615603D-01, 3.06804249653D-01, 5.13705586370D+33, 0.00000000000D+00, 1.10657803146D+05, 1.17132819400D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999819795D-01, 9.99622162787D-01,-1.80205390499D-07,-3.77837212809D-04, 1.89861085786D+30, 6.98667850214D+09, 7.14635328285D+09, 2.36138034144D+06, 2.38232043096D+02, 2.76090016084D-04, 1.00000000000D+00, 5.21186198951D+08, 1.00000000000D+33, 3.05866103705D-01, 3.05858927058D-01, 5.09996463132D+33, 0.00000000000D+00, 1.11138172647D+05, 1.17359265308D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999809572D-01, 9.99605947932D-01,-1.90427753122D-07,-3.94052067816D-04, 1.89861083845D+30, 6.98656517134D+09, 7.14623385929D+09, 2.43866427333D+06, 2.40587807549D+02, 2.82318274037D-04, 1.00000000000D+00, 5.21186157053D+08, 1.00000000000D+33, 3.05366508450D-01, 3.05359514337D-01, 5.06360108638D+33, 0.00000000000D+00, 1.11657310215D+05, 1.17537918380D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999799011D-01, 9.99589564863D-01,-2.00988901411D-07,-4.10435136704D-04, 1.89861081840D+30, 6.98645066484D+09, 7.14611319724D+09, 2.51851499183D+06, 2.42965723769D+02, 2.88691783196D-04, 1.00000000000D+00, 5.21186141878D+08, 1.00000000000D+33, 3.05224405294D-01, 3.05217587111D-01, 5.02766614221D+33, 0.00000000000D+00, 1.12206645574D+05, 1.17666067327D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999788105D-01, 9.99573019460D-01,-2.11895113456D-07,-4.26980539700D-04, 1.89861079769D+30, 6.98633502373D+09, 7.14599134002D+09, 2.60098037222D+06, 2.45366950201D+02, 2.95208671428D-04, 1.00000000000D+00, 5.21186143093D+08, 1.00000000000D+33, 3.05290256516D-01, 3.05283608629D-01, 4.99200200644D+33, 0.00000000000D+00, 1.12774244372D+05, 1.17763761944D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999776845D-01, 9.99556314590D-01,-2.23154566159D-07,-4.43685409532D-04, 1.89861077632D+30, 6.98621826806D+09, 7.14586830876D+09, 2.68612266087D+06, 2.47792282575D+02, 3.01869001450D-04, 1.00000000000D+00, 5.21186192968D+08, 1.00000000000D+33, 3.05395391082D-01, 3.05388908825D-01, 4.95651787022D+33, 0.00000000000D+00, 1.13347435415D+05, 1.17852752465D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999765218D-01, 9.99539444260D-01,-2.34781688091D-07,-4.60555739592D-04, 1.89861075424D+30, 6.98610035594D+09, 7.14574405932D+09, 2.77405140801D+06, 2.50241404845D+02, 3.08679036529D-04, 1.00000000000D+00, 5.21186245073D+08, 1.00000000000D+33, 3.05254267091D-01, 3.05247947136D-01, 4.92129923590D+33, 0.00000000000D+00, 1.13904862274D+05, 1.17964899270D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999753207D-01, 9.99522400661D-01,-2.46792894121D-07,-4.77599339378D-04, 1.89861073144D+30, 6.98598123278D+09, 7.14561853420D+09, 2.86489121681D+06, 2.52713765208D+02, 3.15646725585D-04, 1.00000000000D+00, 5.21186294897D+08, 1.00000000000D+33, 3.04943646711D-01, 3.04937486017D-01, 4.88646163481D+33, 0.00000000000D+00, 1.14450666061D+05, 1.18106263064D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999740795D-01, 9.99505177121D-01,-2.59204623099D-07,-4.94822878524D-04, 1.89861070787D+30, 6.98586085196D+09, 7.14549168430D+09, 2.95876690966D+06, 2.55208946214D+02, 3.22779647043D-04, 1.00000000000D+00, 5.21186342459D+08, 1.00000000000D+33, 3.04475209564D-01, 3.04469205058D-01, 4.85209317669D+33, 0.00000000000D+00, 1.14985019229D+05, 1.18274891202D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999727965D-01, 9.99487765352D-01,-2.72035351911D-07,-5.12234648241D-04, 1.89861068351D+30, 6.98573915554D+09, 7.14536344857D+09, 3.05581876092D+06, 2.57726315881D+02, 3.30087080525D-04, 1.00000000000D+00, 5.21186392421D+08, 1.00000000000D+33, 3.03714120892D-01, 3.03708269194D-01, 4.81830726914D+33, 0.00000000000D+00, 1.15495311998D+05, 1.18459443875D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
